PERMNO,date,TICKER,COMNAM,NWPERM,DLPRC,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,RETX
25785,1990-01-02,F,FORD MOTOR CO DEL,,,43.50000,45.25000,45.25000,1139000,0.037249,,,,0.037249
25785,1990-01-03,F,FORD MOTOR CO DEL,,,45.25000,45.87500,45.50000,1465700,0.005525,,,,0.005525
25785,1990-01-04,F,FORD MOTOR CO DEL,,,45.12500,45.75000,45.50000,717600,0.000000,,,,0.000000
25785,1990-01-05,F,FORD MOTOR CO DEL,,,44.87500,45.75000,44.87500,697200,-0.013736,,,,-0.013736
25785,1990-01-08,F,FORD MOTOR CO DEL,,,44.50000,45.00000,44.87500,613300,0.000000,,,,0.000000
25785,1990-01-09,F,FORD MOTOR CO DEL,,,44.12500,45.12500,44.12500,963500,-0.016713,,,,-0.016713
25785,1990-01-10,F,FORD MOTOR CO DEL,,,43.87500,44.50000,44.50000,538400,0.008499,,,,0.008499
25785,1990-01-11,F,FORD MOTOR CO DEL,,,44.75000,45.37500,45.00000,545100,0.011236,,,,0.011236
25785,1990-01-12,F,FORD MOTOR CO DEL,,,43.75000,44.62500,43.75000,586500,-0.027778,,,,-0.027778
25785,1990-01-15,F,FORD MOTOR CO DEL,,,43.12500,43.87500,43.25000,731900,-0.011429,,,,-0.011429
25785,1990-01-16,F,FORD MOTOR CO DEL,,,42.87500,45.12500,45.00000,718200,0.040462,,,,0.040462
25785,1990-01-17,F,FORD MOTOR CO DEL,,,44.00000,45.12500,44.25000,515000,-0.016667,,,,-0.016667
25785,1990-01-18,F,FORD MOTOR CO DEL,,,43.75000,44.50000,44.25000,909900,0.000000,,,,0.000000
25785,1990-01-19,F,FORD MOTOR CO DEL,,,44.50000,45.00000,44.62500,743000,0.008475,,,,0.008475
25785,1990-01-22,F,FORD MOTOR CO DEL,,,43.50000,44.75000,43.50000,711000,-0.025210,,,,-0.025210
25785,1990-01-23,F,FORD MOTOR CO DEL,,,43.50000,44.25000,44.00000,1209200,0.011494,,,,0.011494
25785,1990-01-24,F,FORD MOTOR CO DEL,,,42.00000,42.50000,42.25000,1086500,-0.022727,,,,-0.039773
25785,1990-01-25,F,FORD MOTOR CO DEL,,,41.75000,42.87500,41.75000,883900,-0.011834,,,,-0.011834
25785,1990-01-26,F,FORD MOTOR CO DEL,,,41.50000,42.50000,42.37500,660000,0.014970,,,,0.014970
25785,1990-01-29,F,FORD MOTOR CO DEL,,,41.50000,43.12500,42.62500,774900,0.005900,,,,0.005900
25785,1990-01-30,F,FORD MOTOR CO DEL,,,41.75000,42.87500,42.50000,500500,-0.002933,,,,-0.002933
25785,1990-01-31,F,FORD MOTOR CO DEL,,,42.75000,43.37500,43.12500,1023900,0.014706,,,,0.014706
25785,1990-02-01,F,FORD MOTOR CO DEL,,,42.37500,43.12500,42.75000,554100,-0.008696,,,,-0.008696
25785,1990-02-02,F,FORD MOTOR CO DEL,,,42.25000,43.25000,43.12500,819300,0.008772,,,,0.008772
25785,1990-02-05,F,FORD MOTOR CO DEL,,,42.62500,43.50000,43.50000,375600,0.008696,,,,0.008696
25785,1990-02-06,F,FORD MOTOR CO DEL,,,42.87500,43.37500,42.87500,451600,-0.014368,,,,-0.014368
25785,1990-02-07,F,FORD MOTOR CO DEL,,,42.50000,45.00000,44.87500,855100,0.046647,,,,0.046647
25785,1990-02-08,F,FORD MOTOR CO DEL,,,43.62500,45.00000,44.00000,782000,-0.019499,,,,-0.019499
25785,1990-02-09,F,FORD MOTOR CO DEL,,,43.37500,44.00000,44.00000,441700,0.000000,,,,0.000000
25785,1990-02-12,F,FORD MOTOR CO DEL,,,43.62500,44.62500,44.00000,553100,0.000000,,,,0.000000
25785,1990-02-13,F,FORD MOTOR CO DEL,,,43.62500,44.50000,44.12500,484400,0.002841,,,,0.002841
25785,1990-02-14,F,FORD MOTOR CO DEL,,,44.12500,44.75000,44.62500,425900,0.011331,,,,0.011331
25785,1990-02-15,F,FORD MOTOR CO DEL,,,44.50000,45.50000,45.25000,1180100,0.014006,,,,0.014006
25785,1990-02-16,F,FORD MOTOR CO DEL,,,44.37500,45.12500,44.37500,1002200,-0.019337,,,,-0.019337
25785,1990-02-20,F,FORD MOTOR CO DEL,,,43.75000,44.25000,44.00000,701900,-0.008451,,,,-0.008451
25785,1990-02-21,F,FORD MOTOR CO DEL,,,43.25000,45.37500,45.25000,663800,0.028409,,,,0.028409
25785,1990-02-22,F,FORD MOTOR CO DEL,,,44.62500,45.62500,44.62500,573300,-0.013812,,,,-0.013812
25785,1990-02-23,F,FORD MOTOR CO DEL,,,44.37500,45.12500,44.75000,534600,0.002801,,,,0.002801
25785,1990-02-26,F,FORD MOTOR CO DEL,,,44.37500,46.00000,45.87500,678800,0.025140,,,,0.025140
25785,1990-02-27,F,FORD MOTOR CO DEL,,,46.00000,47.00000,46.12500,1039100,0.005450,,,,0.005450
25785,1990-02-28,F,FORD MOTOR CO DEL,,,45.75000,46.75000,46.00000,892000,-0.002710,,,,-0.002710
25785,1990-03-01,F,FORD MOTOR CO DEL,,,45.62500,46.50000,45.87500,694000,-0.002717,,,,-0.002717
25785,1990-03-02,F,FORD MOTOR CO DEL,,,45.87500,47.25000,47.12500,1355200,0.027248,,,,0.027248
25785,1990-03-05,F,FORD MOTOR CO DEL,,,46.50000,47.00000,46.87500,1123200,-0.005305,,,,-0.005305
25785,1990-03-06,F,FORD MOTOR CO DEL,,,46.87500,47.62500,47.62500,856100,0.016000,,,,0.016000
25785,1990-03-07,F,FORD MOTOR CO DEL,,,46.87500,47.87500,47.12500,666700,-0.010499,,,,-0.010499
25785,1990-03-08,F,FORD MOTOR CO DEL,,,46.87500,47.62500,47.62500,491000,0.010610,,,,0.010610
25785,1990-03-09,F,FORD MOTOR CO DEL,,,47.12500,47.62500,47.37500,710400,-0.005249,,,,-0.005249
25785,1990-03-12,F,FORD MOTOR CO DEL,,,47.00000,48.12500,48.00000,916900,0.013193,,,,0.013193
25785,1990-03-13,F,FORD MOTOR CO DEL,,,47.75000,48.75000,48.12500,864800,0.002604,,,,0.002604
25785,1990-03-14,F,FORD MOTOR CO DEL,,,47.50000,48.12500,47.62500,587300,-0.010390,,,,-0.010390
25785,1990-03-15,F,FORD MOTOR CO DEL,,,47.00000,47.87500,47.87500,735100,0.005249,,,,0.005249
25785,1990-03-16,F,FORD MOTOR CO DEL,,,48.12500,48.75000,48.62500,1147000,0.015666,,,,0.015666
25785,1990-03-19,F,FORD MOTOR CO DEL,,,47.75000,48.50000,48.25000,546800,-0.007712,,,,-0.007712
25785,1990-03-20,F,FORD MOTOR CO DEL,,,47.87500,48.50000,48.50000,725900,0.005181,,,,0.005181
25785,1990-03-21,F,FORD MOTOR CO DEL,,,48.00000,48.87500,48.00000,728000,-0.010309,,,,-0.010309
25785,1990-03-22,F,FORD MOTOR CO DEL,,,47.50000,48.50000,48.50000,1747800,0.010417,,,,0.010417
25785,1990-03-23,F,FORD MOTOR CO DEL,,,48.25000,48.87500,48.25000,558200,-0.005155,,,,-0.005155
25785,1990-03-26,F,FORD MOTOR CO DEL,,,48.50000,49.12500,48.50000,621200,0.005181,,,,0.005181
25785,1990-03-27,F,FORD MOTOR CO DEL,,,48.00000,48.75000,48.75000,621000,0.005155,,,,0.005155
25785,1990-03-28,F,FORD MOTOR CO DEL,,,48.50000,48.87500,48.75000,430900,0.000000,,,,0.000000
25785,1990-03-29,F,FORD MOTOR CO DEL,,,47.75000,48.62500,48.00000,463800,-0.015385,,,,-0.015385
25785,1990-03-30,F,FORD MOTOR CO DEL,,,47.12500,47.87500,47.25000,553600,-0.015625,,,,-0.015625
25785,1990-04-02,F,FORD MOTOR CO DEL,,,46.62500,47.50000,47.37500,721800,0.002646,,,,0.002646
25785,1990-04-03,F,FORD MOTOR CO DEL,,,47.00000,48.00000,47.87500,502200,0.010554,,,,0.010554
25785,1990-04-04,F,FORD MOTOR CO DEL,,,47.50000,48.25000,47.50000,753800,-0.007833,,,,-0.007833
25785,1990-04-05,F,FORD MOTOR CO DEL,,,46.87500,47.75000,47.00000,622700,-0.010526,,,,-0.010526
25785,1990-04-06,F,FORD MOTOR CO DEL,,,46.50000,47.25000,46.87500,330200,-0.002660,,,,-0.002660
25785,1990-04-09,F,FORD MOTOR CO DEL,,,46.62500,47.12500,46.87500,379600,0.000000,,,,0.000000
25785,1990-04-10,F,FORD MOTOR CO DEL,,,46.75000,47.00000,46.87500,322500,0.000000,,,,0.000000
25785,1990-04-11,F,FORD MOTOR CO DEL,,,46.37500,46.87500,46.50000,379700,-0.008000,,,,-0.008000
25785,1990-04-12,F,FORD MOTOR CO DEL,,,46.25000,46.50000,46.50000,252900,0.000000,,,,0.000000
25785,1990-04-16,F,FORD MOTOR CO DEL,,,46.50000,47.00000,46.75000,909200,0.005376,,,,0.005376
25785,1990-04-17,F,FORD MOTOR CO DEL,,,46.50000,47.25000,47.12500,511300,0.008021,,,,0.008021
25785,1990-04-18,F,FORD MOTOR CO DEL,,,46.87500,48.12500,48.00000,1212500,0.018568,,,,0.018568
25785,1990-04-19,F,FORD MOTOR CO DEL,,,47.75000,48.62500,48.25000,922600,0.005208,,,,0.005208
25785,1990-04-20,F,FORD MOTOR CO DEL,,,47.50000,48.25000,48.00000,1175800,-0.005181,,,,-0.005181
25785,1990-04-23,F,FORD MOTOR CO DEL,,,47.25000,47.75000,47.50000,579300,-0.010417,,,,-0.010417
