PERMNO,date,TICKER,COMNAM,NWPERM,DLPRC,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,RETX
12079,1990-01-02,GM,GENERAL MOTORS CORP,,,42.12500,44.75000,44.50000,1052900,0.053254,,,,0.053254
12079,1990-01-03,GM,GENERAL MOTORS CORP,,,44.00000,44.75000,44.25000,1239400,-0.005618,,,,-0.005618
12079,1990-01-04,GM,GENERAL MOTORS CORP,,,43.62500,44.12500,44.12500,810800,-0.002825,,,,-0.002825
12079,1990-01-05,GM,GENERAL MOTORS CORP,,,42.87500,44.12500,43.50000,846000,-0.014164,,,,-0.014164
12079,1990-01-08,GM,GENERAL MOTORS CORP,,,43.25000,44.00000,43.62500,769900,0.002874,,,,0.002874
12079,1990-01-09,GM,GENERAL MOTORS CORP,,,43.62500,44.37500,43.87500,857300,0.005731,,,,0.005731
12079,1990-01-10,GM,GENERAL MOTORS CORP,,,42.62500,43.75000,43.50000,1342100,-0.008547,,,,-0.008547
12079,1990-01-11,GM,GENERAL MOTORS CORP,,,43.25000,43.87500,43.37500,723900,-0.002874,,,,-0.002874
12079,1990-01-12,GM,GENERAL MOTORS CORP,,,41.25000,43.37500,41.62500,1310600,-0.040346,,,,-0.040346
12079,1990-01-15,GM,GENERAL MOTORS CORP,,,41.12500,41.87500,41.25000,796700,-0.009009,,,,-0.009009
12079,1990-01-16,GM,GENERAL MOTORS CORP,,,41.12500,42.62500,42.50000,1147700,0.030303,,,,0.030303
12079,1990-01-17,GM,GENERAL MOTORS CORP,,,41.62500,42.62500,42.00000,1465800,-0.011765,,,,-0.011765
12079,1990-01-18,GM,GENERAL MOTORS CORP,,,41.37500,42.25000,42.12500,1265100,0.002976,,,,0.002976
12079,1990-01-19,GM,GENERAL MOTORS CORP,,,41.87500,42.50000,42.50000,1411700,0.008902,,,,0.008902
12079,1990-01-22,GM,GENERAL MOTORS CORP,,,41.00000,42.25000,41.25000,1125200,-0.029412,,,,-0.029412
12079,1990-01-23,GM,GENERAL MOTORS CORP,,,40.75000,41.62500,41.25000,1485600,0.000000,,,,0.000000
12079,1990-01-24,GM,GENERAL MOTORS CORP,,,40.50000,41.37500,40.87500,1410000,-0.009091,,,,-0.009091
12079,1990-01-25,GM,GENERAL MOTORS CORP,,,40.87500,41.62500,41.12500,946900,0.006116,,,,0.006116
12079,1990-01-26,GM,GENERAL MOTORS CORP,,,40.87500,41.87500,41.75000,760600,0.015198,,,,0.015198
12079,1990-01-29,GM,GENERAL MOTORS CORP,,,40.62500,42.12500,41.25000,911500,-0.011976,,,,-0.011976
12079,1990-01-30,GM,GENERAL MOTORS CORP,,,40.37500,41.50000,40.62500,1341500,-0.015152,,,,-0.015152
12079,1990-01-31,GM,GENERAL MOTORS CORP,,,40.87500,42.00000,41.62500,993500,0.024615,,,,0.024615
12079,1990-02-01,GM,GENERAL MOTORS CORP,,,41.37500,42.00000,41.87500,856000,0.006006,,,,0.006006
12079,1990-02-02,GM,GENERAL MOTORS CORP,,,41.62500,42.62500,41.87500,1348300,0.000000,,,,0.000000
12079,1990-02-05,GM,GENERAL MOTORS CORP,,,41.75000,42.00000,41.87500,471100,0.000000,,,,0.000000
12079,1990-02-06,GM,GENERAL MOTORS CORP,,,41.37500,42.25000,41.50000,615000,-0.008955,,,,-0.008955
12079,1990-02-07,GM,GENERAL MOTORS CORP,,,41.25000,43.00000,43.00000,1125600,0.036145,,,,0.036145
12079,1990-02-08,GM,GENERAL MOTORS CORP,,,42.25000,43.12500,43.00000,1302100,0.000000,,,,0.000000
12079,1990-02-09,GM,GENERAL MOTORS CORP,,,41.75000,42.87500,42.87500,1032100,0.014535,,,,-0.002907
12079,1990-02-12,GM,GENERAL MOTORS CORP,,,43.00000,43.75000,43.37500,1193700,0.011662,,,,0.011662
12079,1990-02-13,GM,GENERAL MOTORS CORP,,,43.12500,43.75000,43.50000,1148400,0.002882,,,,0.002882
12079,1990-02-14,GM,GENERAL MOTORS CORP,,,43.00000,43.62500,43.00000,457600,-0.011494,,,,-0.011494
12079,1990-02-15,GM,GENERAL MOTORS CORP,,,43.12500,44.37500,44.00000,1529600,0.023256,,,,0.023256
12079,1990-02-16,GM,GENERAL MOTORS CORP,,,43.00000,44.25000,43.00000,1710700,-0.022727,,,,-0.022727
12079,1990-02-20,GM,GENERAL MOTORS CORP,,,42.25000,43.00000,42.75000,734500,-0.005814,,,,-0.005814
12079,1990-02-21,GM,GENERAL MOTORS CORP,,,42.12500,43.87500,43.75000,1455900,0.023392,,,,0.023392
12079,1990-02-22,GM,GENERAL MOTORS CORP,,,43.37500,44.37500,43.50000,1154400,-0.005714,,,,-0.005714
12079,1990-02-23,GM,GENERAL MOTORS CORP,,,43.37500,44.00000,43.37500,903100,-0.002874,,,,-0.002874
12079,1990-02-26,GM,GENERAL MOTORS CORP,,,43.37500,44.50000,44.50000,1400000,0.025937,,,,0.025937
12079,1990-02-27,GM,GENERAL MOTORS CORP,,,44.50000,45.37500,45.00000,1925900,0.011236,,,,0.011236
12079,1990-02-28,GM,GENERAL MOTORS CORP,,,44.87500,45.75000,44.87500,1367800,-0.002778,,,,-0.002778
12079,1990-03-01,GM,GENERAL MOTORS CORP,,,44.87500,45.50000,45.00000,769300,0.002786,,,,0.002786
12079,1990-03-02,GM,GENERAL MOTORS CORP,,,45.00000,46.12500,46.00000,2471300,0.022222,,,,0.022222
12079,1990-03-05,GM,GENERAL MOTORS CORP,,,45.50000,46.12500,45.75000,1226800,-0.005435,,,,-0.005435
12079,1990-03-06,GM,GENERAL MOTORS CORP,,,45.50000,46.25000,46.00000,1483900,0.005464,,,,0.005464
12079,1990-03-07,GM,GENERAL MOTORS CORP,,,45.25000,46.12500,45.25000,1041500,-0.016304,,,,-0.016304
12079,1990-03-08,GM,GENERAL MOTORS CORP,,,45.25000,46.00000,45.87500,1279700,0.013812,,,,0.013812
12079,1990-03-09,GM,GENERAL MOTORS CORP,,,45.75000,46.87500,46.25000,1448900,0.008174,,,,0.008174
12079,1990-03-12,GM,GENERAL MOTORS CORP,,,46.12500,47.25000,47.00000,1581900,0.016216,,,,0.016216
12079,1990-03-13,GM,GENERAL MOTORS CORP,,,46.62500,47.87500,47.12500,2281000,0.002660,,,,0.002660
12079,1990-03-14,GM,GENERAL MOTORS CORP,,,46.87500,47.50000,46.87500,1032700,-0.005305,,,,-0.005305
12079,1990-03-15,GM,GENERAL MOTORS CORP,,,46.62500,47.62500,47.62500,1177600,0.016000,,,,0.016000
12079,1990-03-16,GM,GENERAL MOTORS CORP,,,47.37500,47.87500,47.50000,2534500,-0.002625,,,,-0.002625
12079,1990-03-19,GM,GENERAL MOTORS CORP,,,47.12500,47.62500,47.50000,1022200,0.000000,,,,0.000000
12079,1990-03-20,GM,GENERAL MOTORS CORP,,,47.37500,48.00000,47.62500,1484000,0.002632,,,,0.002632
12079,1990-03-21,GM,GENERAL MOTORS CORP,,,46.75000,48.00000,46.87500,973600,-0.015748,,,,-0.015748
12079,1990-03-22,GM,GENERAL MOTORS CORP,,,45.87500,47.37500,46.50000,1289400,-0.008000,,,,-0.008000
12079,1990-03-23,GM,GENERAL MOTORS CORP,,,46.12500,46.75000,46.37500,820100,-0.002688,,,,-0.002688
12079,1990-03-26,GM,GENERAL MOTORS CORP,,,46.75000,47.75000,47.50000,1480500,0.024259,,,,0.024259
12079,1990-03-27,GM,GENERAL MOTORS CORP,,,47.12500,47.87500,47.87500,789600,0.007895,,,,0.007895
12079,1990-03-28,GM,GENERAL MOTORS CORP,,,47.37500,47.87500,47.62500,848000,-0.005222,,,,-0.005222
12079,1990-03-29,GM,GENERAL MOTORS CORP,,,46.00000,47.62500,46.62500,637900,-0.020997,,,,-0.020997
12079,1990-03-30,GM,GENERAL MOTORS CORP,,,45.87500,47.00000,45.87500,828100,-0.016086,,,,-0.016086
12079,1990-04-02,GM,GENERAL MOTORS CORP,,,44.87500,46.25000,45.50000,1440300,-0.008174,,,,-0.008174
12079,1990-04-03,GM,GENERAL MOTORS CORP,,,45.25000,45.75000,45.62500,942400,0.002747,,,,0.002747
12079,1990-04-04,GM,GENERAL MOTORS CORP,,,45.50000,46.50000,46.12500,851100,0.010959,,,,0.010959
12079,1990-04-05,GM,GENERAL MOTORS CORP,,,45.87500,46.50000,46.00000,672600,-0.002710,,,,-0.002710
12079,1990-04-06,GM,GENERAL MOTORS CORP,,,45.62500,46.37500,46.12500,681300,0.002717,,,,0.002717
12079,1990-04-09,GM,GENERAL MOTORS CORP,,,46.00000,46.87500,46.62500,668200,0.010840,,,,0.010840
12079,1990-04-10,GM,GENERAL MOTORS CORP,,,46.00000,46.50000,46.25000,715400,-0.008043,,,,-0.008043
12079,1990-04-11,GM,GENERAL MOTORS CORP,,,46.00000,46.50000,46.00000,558500,-0.005405,,,,-0.005405
12079,1990-04-12,GM,GENERAL MOTORS CORP,,,46.00000,46.37500,46.12500,503200,0.002717,,,,0.002717
12079,1990-04-16,GM,GENERAL MOTORS CORP,,,46.25000,46.87500,46.25000,883800,0.002710,,,,0.002710
12079,1990-04-17,GM,GENERAL MOTORS CORP,,,45.62500,46.25000,45.87500,929000,-0.008108,,,,-0.008108
12079,1990-04-18,GM,GENERAL MOTORS CORP,,,45.12500,46.25000,46.00000,1569400,0.002725,,,,0.002725
12079,1990-04-19,GM,GENERAL MOTORS CORP,,,45.62500,47.00000,46.87500,1313900,0.019022,,,,0.019022
12079,1990-04-20,GM,GENERAL MOTORS CORP,,,46.37500,47.37500,46.75000,2134100,-0.002667,,,,-0.002667
12079,1990-04-23,GM,GENERAL MOTORS CORP,,,46.00000,46.75000,46.12500,1002500,-0.013369,,,,-0.013369
12079,1990-04-24,GM,GENERAL MOTORS CORP,,,45.87500,46.62500,46.12500,673200,0.000000,,,,0.000000
12079,1990-04-25,GM,GENERAL MOTORS CORP,,,45.25000,46.37500,45.50000,742900,-0.013550,,,,-0.013550
12079,1990-04-26,GM,GENERAL MOTORS CORP,,,45.12500,45.75000,45.62500,1021400,0.002747,,,,0.002747
12079,1990-04-27,GM,GENERAL MOTORS CORP,,,44.87500,45.62500,45.00000,806300,-0.013699,,,,-0.013699
12079,1990-04-30,GM,GENERAL MOTORS CORP,,,44.25000,44.75000,44.25000,914000,-0.016667,,,,-0.016667
12079,1990-05-01,GM,GENERAL MOTORS CORP,,,44.12500,44.62500,44.25000,1028000,0.000000,,,,0.000000
12079,1990-05-02,GM,GENERAL MOTORS CORP,,,43.75000,44.87500,44.75000,1562500,0.011299,,,,0.011299
12079,1990-05-03,GM,GENERAL MOTORS CORP,,,44.75000,45.75000,45.12500,1087200,0.008380,,,,0.008380
12079,1990-05-04,GM,GENERAL MOTORS CORP,,,45.12500,45.75000,45.75000,1361100,0.013850,,,,0.013850
12079,1990-05-07,GM,GENERAL MOTORS CORP,,,45.50000,46.50000,46.25000,1217600,0.010929,,,,0.010929
12079,1990-05-08,GM,GENERAL MOTORS CORP,,,46.12500,46.75000,46.75000,675700,0.010811,,,,0.010811
12079,1990-05-09,GM,GENERAL MOTORS CORP,,,46.25000,46.87500,46.37500,944200,-0.008021,,,,-0.008021
12079,1990-05-10,GM,GENERAL MOTORS CORP,,,46.37500,46.87500,46.75000,1257600,0.008086,,,,0.008086
12079,1990-05-11,GM,GENERAL MOTORS CORP,,,46.12500,47.62500,47.25000,1323900,0.026738,,,,0.010695
12079,1990-05-14,GM,GENERAL MOTORS CORP,,,47.00000,48.00000,47.87500,1713500,0.013228,,,,0.013228
12079,1990-05-15,GM,GENERAL MOTORS CORP,,,47.75000,48.37500,47.87500,1347100,0.000000,,,,0.000000
12079,1990-05-16,GM,GENERAL MOTORS CORP,,,47.75000,48.75000,48.37500,1444900,0.010444,,,,0.010444
12079,1990-05-17,GM,GENERAL MOTORS CORP,,,48.25000,49.25000,48.50000,1241200,0.002584,,,,0.002584
12079,1990-05-18,GM,GENERAL MOTORS CORP,,,47.75000,48.50000,47.87500,1399200,-0.012887,,,,-0.012887
12079,1990-05-21,GM,GENERAL MOTORS CORP,,,47.75000,49.00000,49.00000,1309800,0.023499,,,,0.023499
12079,1990-05-22,GM,GENERAL MOTORS CORP,,,48.37500,49.37500,48.87500,1441300,-0.002551,,,,-0.002551
12079,1990-05-23,GM,GENERAL MOTORS CORP,,,48.62500,49.25000,49.00000,1323600,0.002558,,,,0.002558
12079,1990-05-24,GM,GENERAL MOTORS CORP,,,48.12500,49.00000,48.37500,1115200,-0.012755,,,,-0.012755
12079,1990-05-25,GM,GENERAL MOTORS CORP,,,48.50000,49.25000,48.75000,1188100,0.007752,,,,0.007752
12079,1990-05-29,GM,GENERAL MOTORS CORP,,,48.75000,49.75000,49.50000,1390400,0.015385,,,,0.015385
12079,1990-05-30,GM,GENERAL MOTORS CORP,,,49.12500,49.75000,49.25000,1269600,-0.005051,,,,-0.005051
12079,1990-05-31,GM,GENERAL MOTORS CORP,,,48.50000,49.50000,48.62500,735200,-0.012690,,,,-0.012690
12079,1990-06-01,GM,GENERAL MOTORS CORP,,,48.37500,49.75000,49.62500,1522300,0.020566,,,,0.020566
12079,1990-06-04,GM,GENERAL MOTORS CORP,,,49.12500,50.50000,50.37500,1614500,0.015113,,,,0.015113
12079,1990-06-05,GM,GENERAL MOTORS CORP,,,49.62500,50.37500,49.87500,1705900,-0.009926,,,,-0.009926
12079,1990-06-06,GM,GENERAL MOTORS CORP,,,49.37500,49.87500,49.87500,935900,0.000000,,,,0.000000
12079,1990-06-07,GM,GENERAL MOTORS CORP,,,48.75000,49.87500,49.37500,764700,-0.010025,,,,-0.010025
12079,1990-06-08,GM,GENERAL MOTORS CORP,,,48.37500,49.37500,48.50000,676100,-0.017722,,,,-0.017722
12079,1990-06-11,GM,GENERAL MOTORS CORP,,,48.50000,49.25000,49.12500,855200,0.012887,,,,0.012887
12079,1990-06-12,GM,GENERAL MOTORS CORP,,,49.00000,50.50000,50.25000,1055800,0.022901,,,,0.022901
12079,1990-06-13,GM,GENERAL MOTORS CORP,,,49.87500,50.50000,50.00000,1366600,-0.004975,,,,-0.004975
12079,1990-06-14,GM,GENERAL MOTORS CORP,,,49.50000,49.87500,49.62500,785900,-0.007500,,,,-0.007500
12079,1990-06-15,GM,GENERAL MOTORS CORP,,,49.25000,50.25000,50.25000,2162400,0.012594,,,,0.012594
12079,1990-06-18,GM,GENERAL MOTORS CORP,,,48.75000,50.25000,49.12500,950800,-0.022388,,,,-0.022388
12079,1990-06-19,GM,GENERAL MOTORS CORP,,,49.00000,49.62500,49.25000,764600,0.002545,,,,0.002545
12079,1990-06-20,GM,GENERAL MOTORS CORP,,,49.12500,49.62500,49.50000,594900,0.005076,,,,0.005076
12079,1990-06-21,GM,GENERAL MOTORS CORP,,,49.12500,49.75000,49.50000,726300,0.000000,,,,0.000000
12079,1990-06-22,GM,GENERAL MOTORS CORP,,,48.00000,49.75000,48.00000,1107100,-0.030303,,,,-0.030303
12079,1990-06-25,GM,GENERAL MOTORS CORP,,,47.75000,48.50000,47.87500,961500,-0.002604,,,,-0.002604
12079,1990-06-26,GM,GENERAL MOTORS CORP,,,46.87500,48.25000,46.87500,1199300,-0.020888,,,,-0.020888
12079,1990-06-27,GM,GENERAL MOTORS CORP,,,46.75000,47.75000,47.12500,796000,0.005333,,,,0.005333
12079,1990-06-28,GM,GENERAL MOTORS CORP,,,46.87500,47.50000,47.25000,581400,0.002653,,,,0.002653
12079,1990-06-29,GM,GENERAL MOTORS CORP,,,47.25000,48.25000,47.62500,717300,0.007937,,,,0.007937
12079,1990-07-02,GM,GENERAL MOTORS CORP,,,47.62500,48.50000,48.25000,464500,0.013123,,,,0.013123
12079,1990-07-03,GM,GENERAL MOTORS CORP,,,48.12500,48.50000,48.37500,509000,0.002591,,,,0.002591
12079,1990-07-05,GM,GENERAL MOTORS CORP,,,47.00000,48.25000,47.25000,796900,-0.023256,,,,-0.023256
12079,1990-07-06,GM,GENERAL MOTORS CORP,,,47.00000,48.00000,47.87500,413000,0.013228,,,,0.013228
12079,1990-07-09,GM,GENERAL MOTORS CORP,,,48.00000,49.12500,49.00000,718700,0.023499,,,,0.023499
12079,1990-07-10,GM,GENERAL MOTORS CORP,,,48.00000,49.25000,48.12500,692200,-0.017857,,,,-0.017857
12079,1990-07-11,GM,GENERAL MOTORS CORP,,,48.00000,48.62500,48.37500,674800,0.005195,,,,0.005195
12079,1990-07-12,GM,GENERAL MOTORS CORP,,,47.50000,48.75000,48.75000,698100,0.007752,,,,0.007752
12079,1990-07-13,GM,GENERAL MOTORS CORP,,,48.75000,49.37500,49.12500,1638800,0.007692,,,,0.007692
12079,1990-07-16,GM,GENERAL MOTORS CORP,,,49.12500,49.87500,49.62500,1003000,0.010178,,,,0.010178
12079,1990-07-17,GM,GENERAL MOTORS CORP,,,49.12500,49.75000,49.50000,663300,-0.002519,,,,-0.002519
12079,1990-07-18,GM,GENERAL MOTORS CORP,,,48.87500,49.50000,49.25000,570100,-0.005051,,,,-0.005051
